plotID,pointID,plotType,subtype,latitude,longitude,datum,utmZone,easting,northing,horzUncert,crdSource,elevation,vertUncert,nlcdClass,appMods,siteID
BART_036,51,tower,basePlot,44.062187,-71.285755,WGS84,19N,316931.473,4881320.006,NA,GIS,289.15,NA,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_036,33,tower,basePlot,44.062007,-71.285748,WGS84,19N,316931.473,4881300.006,NA,GIS,291.02,NA,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_071,31,tower,basePlot,44.067849,-71.290718,WGS84,19N,316551.473,4881960.006,NA,GIS,253.95,NA,mixedForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_071,49,tower,basePlot,44.068029,-71.290725,WGS84,19N,316551.473,4881980.006,NA,GIS,251.57,NA,mixedForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_071,51,tower,basePlot,44.068034,-71.290475,WGS84,19N,316571.473,4881980.006,NA,GIS,249.91,NA,mixedForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_071,33,tower,basePlot,44.067854,-71.290469,WGS84,19N,316571.473,4881960.006,NA,GIS,252.24,NA,mixedForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_040,31,tower,basePlot,44.06566,-71.292132,WGS84,19N,316431.473,4881720.006,NA,GIS,256.97,NA,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_040,49,tower,basePlot,44.06584,-71.292139,WGS84,19N,316431.473,4881740.006,NA,GIS,255.02,NA,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_040,51,tower,basePlot,44.065845,-71.291889,WGS84,19N,316451.473,4881740.006,NA,GIS,254.51,NA,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_040,33,tower,basePlot,44.065665,-71.291882,WGS84,19N,316451.473,4881720.006,NA,GIS,256.67,NA,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BONA_084,21,tower,basePlot,65.155058,-147.513405,WGS84,6N,475930.167,7225833.531,0.2,Geo 7X,263.09,0.23,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_084,25,tower,basePlot,65.155062,-147.51252,WGS84,6N,475971.681,7225833.631,0.18,Geo 7X,260.18,0.26,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_084,39,tower,basePlot,65.155257,-147.513378,WGS84,6N,475931.623,7225855.68,0.16,Geo 7X,264.52,0.18,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_084,41,tower,basePlot,65.155247,-147.512957,WGS84,6N,475951.369,7225854.416,0.15,Geo 7X,263.46,0.2,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_084,23,tower,basePlot,65.155063,-147.512968,WGS84,6N,475950.689,7225833.943,0.15,Geo 7X,260.43,0.62,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_084,61,tower,basePlot,65.155419,-147.512543,WGS84,6N,475970.896,7225873.459,0.15,Geo 7X,266.03,0.17,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_084,43,tower,basePlot,65.155251,-147.512527,WGS84,6N,475971.529,7225854.75,0.14,Geo 7X,263.95,0.18,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_084,59,tower,basePlot,65.15542,-147.512956,WGS84,6N,475951.555,7225873.68,0.14,Geo 7X,267.78,0.18,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_084,57,tower,basePlot,65.155423,-147.513385,WGS84,6N,475931.464,7225874.225,0.12,Geo 7X,268.25,0.12,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
